"orderid","lineid","productid","qtyordered","itemprice","voided","voiddate","fillsiteid","filllocationid","commissiontype","spiff","originalinventorycost","filldate","inventorycostdate","inventoryreceiptdate","addeddate","fillfromsiteid","fillfromlocationid","mainorderid","packageid","salesperson1","salesperson2","percentofsale1","percentofsale2","picked","upcharge","discount","valueforproductid","valueforlineid","valueproductid","valueproductlineid","warrantyproductid","warrantyproductlineid","deliverypoints","takenwith","setup","pickupdiscount","setupcommission","deliverycommission","taxruleid","taxliability","taxbasis","customertax","retailertax","priceauthorizedby","leaveincarton","outletid","outletstatusid","outletdate","serialnumber","outletcomment","originalprice","originalalacarteprice","originalregularprice","promotionid","adjustmentreasonid","autoadjusteduid","autoadjustedvoided","storecardloaded","addedbyapp","interfacedforsalescube","interfacedforforecasting","auditaction","oldorderid","oldlineid","priceoverridereason","lineadded","totalothercost","deleteline","returnlinematched"
"0710544IC87",1,"127576878",1.00,288.51,N,,"01",DC,Z,,152.00,2025-07-10 12:46:12.779,2025-04-30 00:00:00.000,2025-04-30 00:00:00.000,,,,"0710544IC87",,mk,,100.000,,,,0.00,,,,,,,21,N,N,,N,N,,,,,,,N,,,,,,288.51,288.51,288.51,,,,,,2025-07-10 12:46:12.582,Y,N,U,,0,,,12.16,,N
"0710544IB41A",11,SSMT5,1.00,79.99,N,,"44",FLOOR,G,,24.60,2025-07-10 11:21:31.808,2025-04-28 00:00:00.000,2025-04-28 00:00:00.000,,"44",,"0710544IB41",,tkm,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,79.99,79.99,79.99,,,,,,2025-07-10 11:20:20.356,Y,N,U,,0,,,0.00,,N
"0710544ID45",2,DECLINE,1.00,0.00,N,,,,Z,,,,,,,,,"0710544ID45",,tkm,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,0.00,0.00,0.00,,,,,,2025-07-10 17:14:43.851,Y,N,U,,0,,,0.00,,N
"0710544IH34",6,LI244-C2500S,1.00,217.89,N,,,,Z,,,,,,,,,"0710544IH34",,mk,tkm,50.000,50.000,,,0.00,,,,,,,5,N,N,,N,N,,,,,,,N,,,,,,217.89,217.89,217.89,,,,,,2025-07-01 12:19:16.528,Y,N,U,,0,,,10.23,,N
"0710544IH34",13,LI244-C2500S,1.00,217.89,N,,,,Z,,,,,,,,,"0710544IH34",,mk,tkm,50.000,50.000,,,0.00,,,,,,,5,N,N,,N,N,,,,,,,N,,,,,,217.89,217.89,217.89,,,,,,2025-07-10 16:33:52.331,Y,N,U,,0,,,10.23,,N
"0710544II17",1,"076758693",1.00,1479.87,N,,,,Z,,,,,,,,,"0710544II17",,mk,,100.000,,,,0.00,,,"4YEARFCP",2,,,52,N,N,,N,N,,,,,,,N,,,,,,1479.87,1479.87,1479.87,,,,,,2025-07-10 17:46:54.594,Y,N,U,,0,,,0.00,,N
"0710544II27",5,"616716115",1.00,208.44,N,,"03",DOCK12,Z,,80.00,2025-07-10 18:02:49.158,2025-03-07 00:00:00.000,2025-03-07 00:00:00.000,,,,"0710544II27","353192023",mk,nef,50.000,50.000,,,0.00,,,,,,,14,N,N,,N,N,,,,,,,N,,,,,,208.44,0.00,0.00,,,,,,2025-07-10 18:01:22.779,Y,N,U,,0,,,15.40,,N
"0710555IA47",2,"482923348",1.00,96.16,N,,"01",DC,Z,,45.00,2025-07-10 10:29:23.637,2025-02-20 00:00:00.000,2025-02-20 00:00:00.000,,,,"0710555IA47",,aa,,100.000,,,,0.00,,,,,,,5,N,N,,N,N,,,,,,mrc,N,,,,,,127.38,127.38,127.38,,,,,,2025-07-10 10:29:23.347,Y,N,U,,0,COMP,,13.71,,N
"0710555IA61",4,"627128245",1.00,653.19,N,,"01",DC,Z,,367.80,2025-07-10 10:36:00.190,2025-06-10 00:00:00.000,2025-06-10 00:00:00.000,,,,"0710555IA61","130680278",aa,,100.000,,,,0.00,,,,,,,55,N,N,,N,N,,,,,,,N,,,,,,653.19,742.67,742.67,,,,,,2025-07-10 10:35:59.616,Y,N,U,,0,,,18.39,,N
"0710555IB18",3,BJODQFBR-POR,1.00,165.45,N,,"01",DC,Z,,70.00,2025-07-10 10:52:55.351,2025-05-08 00:00:00.000,2025-05-08 00:00:00.000,,,,"0710555IB18",KJODQB-POR,gaw,ma,50.000,50.000,,,0.00,,,,,,,7,N,N,,N,N,,,,,,,N,,,,,,165.45,0.00,0.00,,,,,,2025-07-10 10:52:55.120,Y,N,U,,0,,,8.40,,N
